Competizione;Livescore;Betting1X2;Vitibet;Forebet;Mybet;Zulubet;Pickforwin;Iambettor;Prosoccer;Scibet
Scozia - Championship;Dumbarton;Dumbarton;Dumbarton FC;Dumbarton FC;Dumbarton;Dumbarton FC;Dumbarton;Dumbarton FC;DUMBARTON;Dumbarton FC
Scozia - Championship;Ayr United;Ayr;Ayr United;Ayr United;Ayr United;Ayr United;Ayr United;Ayr United;AYR UNITED;Ayr Utd
Scozia - Championship;St. Mirren;St Mirren;St. Mirren FC;St. Mirren;St. Mirren;FC St Mirren;St. Mirren;St. Mirren FC;ST MIRREN;St. Mirren FC
Irlanda - Premier Division;Cork City FC;Cork City;Cork City;Cork City;Cork City;Cork City FC;Cork City;Cork City;CORK;Cork City
Irlanda - Premier Division;Derry City;Derry City;Derry City;Derry City;Derry City;Derry City FC;Derry City;Derry City;DERRY;Derry City
Irlanda - Premier Division;Dundalk;Dundalk;Dundalk FC;Dundalk FC;Dundalk;Dundalk FC;Dundalk;Dundalk FC;DUNDALK;Dundalk FC
Irlanda - Premier Division;Bray Wanderers;Bray Wanderers;Bray Wanderers;Bray Wanderers;Bray Wanderers;Bray Wanderers AFC;Bray Wanderers;Bray Wanderers;BRAY;Bray Wanderers
Irlanda - Premier Division;Bohemian Dublino;Bohemians Dublin;Bohemians Dublin;Bohemians FC;Bohemian FC;Bohemians Dublin FC;Bohemians;Bohemians Dublin;BOHEMIANS;Bohemian FC
Irlanda - Premier Division;Shamrock Rovers;Shamrock Rovers;Shamrock Rovers;Shamrock Rovers;Shamrock Rovers;Shamrock Rovers FC;Shamrock Rovers;Shamrock Rovers;SHAMROC;Shamrock Rovers
Irlanda - Premier Division;Drogheda United;Drogheda United;Drogheda United;Drogheda Utd;Drogheda United;Drogheda United FC;Drogheda United;Drogheda United;DROGHEDA;Drogheda Utd
Irlanda - Premier Division;Finn Harps FC;Finn Harps;Finn Harps FC;Finn Harps;Finn Harps;Finn Harps FC;Finn Harps;Finn Harps FC;FINN HARPS;Finn Harps
Irlanda - Premier Division;Limerick;Limerick;Limerick FC;Limerick FC;Limerick;Limerick 37 FC;Limerick;Limerick FC;LIMERICK;Limerick 37
Irlanda - Premier Division;Sligo Rovers;Sligo Rovers;Sligo Rovers;Sligo Rovers;Sligo Rovers;Sligo Rovers FC;Sligo Rovers;Sligo Rovers;SLIGO ROVERS;Sligo Rovers
Irlanda - Premier Division;Galway United;Galway United;Galway United;Galway United;Galway United FC;Galway FC;Galway;Galway United;GALWAY UNITED;Galway FC
Irlanda - Premier Division;St Patricks;St Patricks;St. Patrick´s Athletic;St Patricks Dublin;St. Patrick's Athletic;Saint Patrick´s Athletic FC;St. Patrick's Ath.;St. Patrick´s Athletic;SAINT PATRICK;St Patrick's Athletic
Irlanda - First Division;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers;;
Irlanda - First Division;Waterford United FC;Waterford FC;Waterford United;Waterford United;Waterford FC;Waterford United FC;Waterford United;Waterford United;;
Irlanda - First Division;University College Dublin;UCD;UC Dublin;UCD Dublin;UCD;University College Dublin;Ucd;UC Dublin;;
Irlanda - First Division;Cabinteely FC;Cabinteely FC;Cabinteely;Cabinteely FC;Cabinteely;;Cabinteely;Cabinteely;;
Irlanda - First Division;Athlone Town AFC;Athlone Town;Athlone Town;Athlone Town;Athlone Town;Athlone Town AFC;Athlone Town;Athlone Town;;
Irlanda - First Division;Longford Town;Longford Town;Longford Town;Longford Town;Longford Town;Longford Town FC;Longford Town;Longford Town;;
Irlanda - First Division;Shelbourne Dublino;Shelbourne;Shelbourne FC;Shelbourne FC;Shelbourne;Shelbourne Dublin FC;Shelbourne;Shelbourne FC;;
Irlanda - First Division;Wexford;Wexford Youths;Wexford Youths;Wexford Youths;Wexford FC;Wexford Youths FC;Wexford Youths;Wexford Youths;;
Bulgaria - A PFG;Ludogorets Razgrad;Ludogorets Razgrad;Ludogorets Razgrad;Ludogorets;Ludogorets Razgrad;Ludogorets Razgrad;Ludogorets;;LUDOGOREST;PFC Ludogorets Razgrad
Bulgaria - A PFG;Levski Sofia;Levski Sofia;Levski Sofia;Levski Sofia;Levski Sofia;Levski Sofia;Levski Sofia;;LEVSKI SOFIA;Levski Sofia
Bulgaria - A PFG;CSKA Sofia;CSKA Sofia;CSKA Sofia;CSKA Sofia;PFC CSKA-Sofia;CSKA Sofia;Cska Sofia;;CSKA SOFIA;CSKA Sofia
Bulgaria - A PFG;Cherno More;Cherno More Varna;Cherno More Varna;Cherno More Varna;Cherno More Varna;Cherno More Varna;Cherno More;;CHERNO MORE;Cherno More Varna
Bulgaria - A PFG;Lokomotiv Plovdiv;Lokomotiv Plovdiv;Lokomotiv Plovdiv;Lokomotiv Plovdiv;Lokomotiv Plovdiv;Lokomotiv 1926 Plovdiv;Lok. Plovdiv;;LOKOMOTIV PL.;Lokomotiv Plovdiv
Bulgaria - A PFG;FC Dunav Ruse;Dunav Rousse;Dunav Ruse;Dunav Ruse;Dunav Ruse;FC Dunav Ruse;Dunav 2010;;DUNAV RUSE;FC Dunav Ruse
Bulgaria - A PFG;Botev Plovdiv;Botev Plovdiv;Botev Plovdiv;Botev Plovdiv;Botev Plovdiv;PFK Botev Plovdiv;Botev Plovdiv;;BOTEV PLOVDIV;Botev Plovdiv
Bulgaria - A PFG;Beroe Stara Zagora;Beroe;Beroe Stara Zagora;Beroe Stara Zagora;Beroe;Beroe Stara Zagora;Beroe;;BEROE;PFK Beroe
Bulgaria - A PFG;FC Pirin Blagoevgrad;Pirin Blagoevgrad;Pirin Blagoevgrad;Pirin Blagoevgrad;Pirin Blagoevgrad;FC Pirin Blagoevgrad;Ofk Pirin;;PIRIN BLAGOEVGRAD;Pirin Blagoevgrad
Bulgaria - A PFG;Vereya;Vereya;Vereya Stara Zagora;FC Vereya;Vereya;FC Vereya;Vereya;;VEREYA;FK Vereya
Bulgaria - A PFG;Slavia Sofia;Slavia Sofia;PFC Slavia Sofia;Slavia Sofia;Slavia Sofia;PFC Slavia Sofia;Slavia Sofia;;SLAVIA SOFIA;Slavia Sofia
Bulgaria - A PFG;Neftochimik 1962 Bourgas;PFC Neftochimic Burgas;Neftohimic Burgas;Neftohimik Burgas;Neftochimic Burgas 1962;Neftochimik 1962 Bourgas;Neftohimik;;NEFTOCHIMIK BURGAS;Neftochimik Burgas
Bulgaria - A PFG;Lokomotiv Gorna Oryahovitsa;Lokomotiv G. Oryahovitsa;Lokomotiv Gorna O.;Lokomotiv Gorna O.;Lokomotiv Gorna Oryahovitsa;Gorna Oryahovitsa;Lokomotiv G. Oryahovitsa;;LOKOMOTIV G. ORYA;Lokomotiv Gorna Oryahovitsa
Bulgaria - A PFG;Montana;Montana 1921;PFC Montana 1921;PFK Montana;Montana;PFC Montana 1921;Montana;;MONTANA;FK Montana
Bulgaria - B PFG;Etar 1924 Veliko Tarnovo;;;Etar Veliko Tarnovo;Etar;;Etar;;;
Bulgaria - B PFG;FK SEPTEMVRI SOFIA;;;FK Septemvri;Septemvri Sofia;;Septemvri Sofia;;;
Bulgaria - B PFG;FC Vitosha Sofia;;;Vitosha Bistritsa;Vitosha Bistritsa;;Bistritsa;;;
Bulgaria - B PFG;Sozopol;;;FK Sozopol;Sozopol;;Sozopol;;;
Bulgaria - B PFG;PFC Nesebar;;;PFK Nesebar;Nesebar;;Nesebar;;;
Bulgaria - B PFG;Lokomotiv Sofia;;;Lokomotiv Sofia;PFC Lokomotiv Sofia 1929;;Lok. Sofia;;;
Bulgaria - B PFG;PFC Chernomorets Pomorie;;;OFK Pomorie;Pomorie;;Pomorie;;;
Bulgaria - B PFG;CSKA SOFIA II;;;CSKA II Sofia;PFC CSKA-Sofia II;;Cska Sofia Ii;;;
Bulgaria - B PFG;Tsarsko Selo Sofia;;;Tsarsko Selo;FC Tsarsko Selo Sofia 2015;;Tsarsko Selo;;;
Bulgaria - B PFG;Ludogorets Razgrad B;;;Ludogorets II;Ludogorets Razgrad II;;Ludogorets Ii;;;
Bulgaria - B PFG;OFC Botev Vratsa;;;Botev Vratsa;Botev Vratsa;;Botev Vratsa;;;
Bulgaria - B PFG;Botev Galabovo;;;Botev Galabovo;Botev Galabovo;;Botev Galabovo;;;
Bulgaria - B PFG;Oborishte Panagyurishte;;;FC Oborishte;Oborishte;;Oboriste;;;
Bulgaria - B PFG;Spartak Pleven;;;Spartak Pleven;Spartak Pleven;;Spartak Pleven;;;
Bulgaria - B PFG;FC Bansko;;;FK Bansko;Bansko;;Bansko;;;
Bulgaria - B PFG;Levski Karlovo;;;OFK Levski Karlovo;Levski Karlovo;;Levski Karlovo;;;
Russia - Premier League;Spartak Mosca;Spartak Moscow;Spartak Moskva;Spartak Moscow;Spartak Moscow;Spartak Moskau;Spartak Moskva;Spartak Moskva;SPARTAK MOS;Spartak Moskva
Russia - Premier League;Zenit San Pietroburgo;Zenit St Petersburg;Zenit Sankt Petersburg;Zenit;Zenit St. Petersburg;Zenit St. Petersburg;Zenit;Zenit Sankt Petersburg;ZENIT;Zenit St. Petersburg
Russia - Premier League;CSKA Mosca;CSKA Moscow;CSKA Moskva;CSKA Moscow;CSKA Moscow;CSKA Moscow;Cska Moskva;CSKA Moskva;CSKA MOSCOW;CSKA Moskva
Russia - Premier League;FC Krasnodar;Krasnodar;FK Krasnodar;FK Krasnodar;FC Krasnodar;FK Krasnodar;Krasnodar;FK Krasnodar;KRASNODAR;FK Krasnodar
Russia - Premier League;UFA;FC Ufa;FC Ufa;FK Ufa;FC Ufa;FK UFA;Ufa;FC Ufa;UFA;FC Ufa
Russia - Premier League;FC Rostov;Rostov;FC Rostov na Donu;FK Rostov;FC Rostov;FC Rostov;Rostov;FC Rostov na Donu;ROSTOV;FK Rostov
Russia - Premier League;Amkar Perm;Amkar Perm;FK Amkar Perm;Amkar Perm;Amkar;FC Amkar Perm;Amkar Perm';FK Amkar Perm;AMKAR;FK Amkar Perm
Russia - Premier League;Terek Grozny;Terek Grozny;Terek Groznyi;Terek Groznyi;Terek Grozny;RFK Terek Grozny;Terek Grozny;Terek Groznyi;TEREK GROZNI;Terek Grozniy
Russia - Premier League;Lokomotiv Mosca;Lokomotiv Moscow;Lokomotiv Moskva;Lokomotiv Moscow;Lokomotiv Moscow;FC Lokomotiv Moscow;Lokomotiv Moskva;Lokomotiv Moskva;LOKOMOTIV MOS;Lokomotiv Moskva
Russia - Premier League;Rubin Kazan;Rubin Kazan;FK Rubin Kazan;Rubin Kazan;Rubin Kazan;FC Rubin Kazan;Rubin Kazan';FK Rubin Kazan;RUBIN;Rubin Kazan
Russia - Premier League;FC Anzhi Makhachkala;Anzhi Makhachkala;Anzhi Makhachkala;Anzhi Makhachkala;Anzhi Makhachkala;FC Anzhi Makhachkala;Anzhi;Anzhi Makhachkala;ANZHI;Anzhi Makhachkala
Russia - Premier League;FC Ural Yekaterinburg;Ural;Ural Sverdlovskaya;FK Ural;Ural;FC Ural Yekaterinburg;Ural;Ural Sverdlovskaya;URAL;FK Ural
Russia - Premier League;Kryliya Sovetov;Krylia Sovetov;Kryliya Sovetov Samara;Krylia Sovetov;Krylya Sovetov Samara;FC Kryliya Sovetov Samara;Krylya Sovetov;Kryliya Sovetov Samara;KRYLA;Krylia Sovetov
Russia - Premier League;FC Orenburg;FC Orenburg;FC Orenburg;Gazovik Orenburg;FC Orenburg;FC Gazovik Orenburg;Orenburg;FC Orenburg;GAZONIK ORENBURG;Gazovik Orenburg
Russia - Premier League;Arsenal Tula;Arsenal Tula;Arsenal Tula;Arsenal Tula;Arsenal Tula;Arsenal Tula;Arsenal Tula;Arsenal Tula;ARSENAL TULA;Arsenal Tula
Russia - Premier League;Tom Tomsk;Tomsk;FK Tom Tomsk;Tom Tomsk;Tom Tomsk;FC Tom Tomsk;Tomsk;FK Tom Tomsk;TOM TOMSK;FK Tom Tomsk
Russia - Football National League;Dinamo Mosca;Dinamo Moscow;Dinamo Moskva;Dynamo Moscow;Dinamo Moscow;FC Dinamo Moscow;Dinamo Moskva;Dinamo Moskva;DINAMO MOS;Dinamo Moskva
Russia - Football National League;FK Tosno;FK Tosno;FC Tosno;FK Tosno;Tosno;FK Tosno;Tosno;FC Tosno;RUAN TOSNO;FK Tosno
Russia - Football National League;SKA-Khabarovsk;SKA Energia Khabarovsk;FC Khabarovsk;SKA-Energia;SKA-Khabarovsk;FC Ska-Energiya Khabarovsk;Ska-energiya;FC Khabarovsk;SKA ENERGIYA;SKA-Energia Khabarovsk
Russia - Football National League;Fakel Worenesch;Fakel Voronezh;Fakel Voronez;Fakel Voronezh;Fakel;Fakel Worenesch;Fakel;Fakel Voronez;FAKEL VORONEZH;Fakel Voronezh
Russia - Football National League;Shinnik Yaroslavl;Shinnik Yaroslavl;Shinnik Yaroslavl;Shinnik Yaroslavl;Shinnik Yaroslavl;FC Shinnik Yaroslavl;Shinnik;Shinnik Yaroslavl;SHINNIK YAROSLAVL;Shinnik Yaroslavl
Russia - Football National League;Spartak 2;Spartak Moscow II;Spartak Moskva B;Spartak-2 Moscow;Spartak Moscow II;Spartak 2;Spartak Moscow 2;Spartak Moskva B;SPARTAK MOSCOW 2;Spartak Moskva 2
Russia - Football National League;FK Yenisey Krasnoyarsk;FK Yenisey;Metallurg Enisey;FK Yenisey;FC Yenisey Krasnoyarsk;FK Yenisey Krasnoyarsk;Yenisey;Metallurg Enisey;YENISEY;Enisey Krasnoyarsk
Russia - Football National League;FK Tambov;FK Tambov;FC Tambov;FK Tambov;FC Tambov;FK Tambov;Tambov;FC Tambov;TAMPOV;Spartak Tambov
Russia - Football National League;FC Kuban Krasnodar;Kuban Krasnodar;Kuban Krasnodar;Kuban Krasnodar;Kuban Krasnodar;FC Kuban Krasnodar;Kuban' Krasnodar;Kuban Krasnodar;KUBAN;Kuban Krasnodar
Russia - Football National League;FC Luch-Energiya Vladivostok;Luch-Energiya Vladivostok;Luch Vladivostok;Luch-Energiya;Luch Energiya Vladivostok;FC Luch-Energiya Vladivostok;Luch Vladivostok;Luch Vladivostok;LUCH ENERGIYA ;Luch-Energia
Russia - Football National League;FK Khimki;FK Khimki;FK Khimki;FK Khimki;Khimki;FK Khimki;Khimki;FK Khimki;KHIMIK DZERZHINSK;FK Khimki
Russia - Football National League;Tyumen;FC Tyumen;FC Tyumen;FK Tyumen;Tyumen;FK Tyumen;Tyumen;FC Tyumen;TYUMEN;FK Tyumen
Russia - Football National League;Zenit S.Pietroburgo II;Zenit St Petersburg II;Zenit St.Petersburg B;Zenit-2;Zenit St. Petersburg 2;FC Zenit St Petersburg II;Zenit Petersburg 2;Zenit St.Petersburg B;ZENIT 2;Zenit St. Petersburg 2
Russia - Football National League;Spartak Nalchik;Spartak Nalchik;Spartak Nalchik;Spartak Nalchik;Spartak Nalchik;FC Spartak Nalchik;Spartak Nal'chik;Spartak Nalchik;SPARTAK NALCHIK;Spartak Nalchik
Russia - Football National League;Sibir;Sibir Novosibirsk;Sibir Novosibirsk;Sibir Novosibirsk;Sibir Novosibirsk;FC Sibir Novosibirsk;Sibir;Sibir Novosibirsk;SIBIR;Sibir Novosibirsk
Russia - Football National League;Volgar Astrakhan;Volgar G Astrakhan;Volgar Astrakhan;Volgar Astrakhan;FC Volgar;FC Volgar-Gazprom Astrahan;Volgar Astrakhan;Volgar Astrakhan;VOLGAR;FC Volgar Astrakhan
Russia - Football National League;FC Sokol Saratov;Sokol Saratov;Sokol Saratov;Sokol Saratov;Sokol Saratov;FC Sokol Saratov;Sokol Saratov;Sokol Saratov;SOKOL SARATOV;Sokol Saratov
Russia - Football National League;FC Mordovia Saransk;Mordovia Saransk;Mordovia Saransk;Mordovia Saransk;Mordovya;FC Mordovia Saransk;Mordovia Saransk;Mordovia Saransk;MORDOVIA;Mordovia Saransk
Russia - Football National League;Neftekhimik Nizhnekamsk;Neftekhimik Nizhnekamsk;Neftekhimik Nizhnekamsk;Neftekhimik Nizhn.;Neftekhimik;Neftek. Nizhnekamsk;Neftekhimik;Neftekhimik Nizhnekamsk;NEFTEKHIMIK;Neftekhimik
Russia - Football National League;FC Baltika Kaliningrad;Baltika Kaliningrad;Baltika Kaliningrad;Baltika Kaliningrad;Baltika;FC Baltika Kaliningrad;Baltika;Baltika Kaliningrad;BALTIKA;Baltika Kaliningrad
Grecia - Super League;Olympiacos Pireo;Olympiakos;Olympiakos Piraeus;Olympiakos Pireus;Olympiacos;Olympiacos Piraeus;Olympiakos Piraeus;;OLYMPIAKOS;Olympiakos Piräus
Grecia - Super League;Panionios;Panionios;Panionios GSS;Panionios GSS;Panionios;Panionios;Panionios;;PANIONIOS;Panionios Athen
Grecia - Super League;PAOK Salonicco;PAOK Salonika;PAOK Thessaloniki;PAOK Salonica;PAOK Thessaloniki FC;PAOK Thessaloniki;Paok;;PAOK;PAOK Saloniki
Grecia - Super League;Panathinaikos;Panathinaikos;Panathinaikos Athens;Panathinaikos;Panathinaikos;Panathinaikos;Panathinaikos;;PANATHINAIKOS;Panathinaikos
Grecia - Super League;AEK Atene;AEK Athens;AEK Athens;AEK Athens;AEK Athens;AEK Athens FC;Aek Athens;;AEK ATHENS;AEK Athen
Grecia - Super League;Platanias FC;Platanias;Platanias FC;AO Platanias;Platanias;Platanias FC;Platanias;;PLATANIAS;Platanias Chanion
Grecia - Super League;A.O Xanthi;Xanthi;Skoda Xanthi FC;SKODA Xanthi;Xanthi;Skoda Xanthi FC;Skoda Xanthi (gre);;XANTHI;Skoda Xanthi
Grecia - Super League;Atromitos Atene;Atromitos Athinon;Atromitos Peristeri;Atromitos FC;Atromitos;Atromitos Athens;Atromitos (gre);;ATROMITOS ATH;Atromitos
Grecia - Super League;PAS Giannina FC;Giannina;PAS Giannina;PAS Giannina;PAS Giannina;PAS Giannina FC;Pas Giannina;;PAS GIANNINA;PAS Ioannina
Grecia - Super League;AO Kassiopi;Kerkyra;AO Kerkira;AO Kerkyra;AOK Kerkyra;Kassiopi;Kerkyra (gre);;KASSIOPI;AO Kerkyra
Grecia - Super League;Panaitolikos;Panetolikos;Panetolikos Agrinio;Panetolikos;Panetolikos;Panetolikos;Panetolikos;;PANAITOLIKOS;Panaitolikos
Grecia - Super League;Larissa;Larissa;AEL Larisa;AE Larisa;AE Larissa;Larissa;Ael Larissa (gre);;LARISA;AE Larisa
Grecia - Super League;Asteras Tripolis;Asteras Tripolis;Asteras Tripolis;Asteras Tripoli;Asteras Tripolis;Asteras Tripolis;Asteras Tripolis;;ASTERAS TR;Asteras Tripolis
Grecia - Super League;Levadiakos;Levadiakos;Levadiakos FC;Levadiakos;Levadiakos;Levadiakos FC;Levadiakos (gre);;LEVADIAKOS;Levadiakos
Grecia - Super League;Iraklis;Iraklis;Iraklis Thessaloniki;Iraklis Salonica;Iraklis;Iraklis 1908;Iraklis (gre);;IRAKLIS;Iraklis Saloniki
Grecia - Super League;Veroia FC;Veria;Veria FC;Veria FC;Veria FC;GAS Veria FC;Veria;;VERIA;Veria FC
Grecia - Football League;GS Apollon Smyrnis;Apollon Smyrnis;Apollon Smyrnis;Apollon Smyrni;Apollon Smirnis;;Apollon Smirnis;;APOLLON SMYRNIS;
Grecia - Football League;Lamia;Lamia;PAS Lamia 1964;Lamia FC;Lamia;;Lamia;;LAMIA;
Grecia - Football League;Aris Salonicco;Aris Salonika;Aris Thessaloniki;Aris Salonica;Aris Thessaloniki FC;;Aris;;ARIS;
Grecia - Football League;OFI Creta;OFI Crete;OFI Crete FC;OFI Creta;OFI Crete;;Ofi Crete;;OFI;
Grecia - Football League;Trikala;Trikala;AO Trikala;AO Trikala;Trikala;;Trikala;;TRIKALA;
Grecia - Football League;Agrotikos Asteras 1932;Agrotikos Asteras;Agrotikos Asteras;Agrotikos Asteras;Agrotikos Asteras;;Agrotikos Asteras;;AGROTIKOS;
Grecia - Football League;SPARTI;AE Sparti;Sparta FC;AE Spartis;AE Sparti;;Sparti;;SPARTI;
Grecia - Football League;Panserraikos 1964;Panserraikos;Panserraikos FC;Panserraikos;Panserraikos FC;;Panserraikos;;PANSERRAIKOS;
Grecia - Football League;Panegialios FC;Panegialios;Panaigialeios FC;Panegialios;Panegialios;;Panegialios;;PANEGIALIOS;
Grecia - Football League;Chania;Chania FC;AO Chania FC;AO Chania;Chania;Chania;Chania;;CHANIA;
Grecia - Football League;Anagennisi Karditsas 1904;Anagennisi Karditsas;Anagennisi Karditsas;Anagennisi Karditsa;Anagennisi Karditsas;Anagennisi Karditsas FC;Anagennisi Karditsas;;ANAGENNISI K;
Grecia - Football League;Kissamikos;Kissamikos;PGS Kissamikos FC;Kissamikos;Kissamikos FC;;Kissamikos;;KISSAMIKOS;
Grecia - Football League;Neos Acharnaikos;;Acharnaikos FC;Acharnaikos;Acharnaikos FC;;Acharnaikos;;ACHARNAIKOS;
Grecia - Football League;Kallithea FC Athén;Kallithea;Kallithea FC;Kallithea FC;Kallithea;;Kallithea;;KALLITHEA;
Grecia - Football League;Aiginiakos FC;Aiginiakos FC;Aiginiakos FC;Aiginiakos FC;Aiginiakos FC;;Aiginiakos;;AIGINIAKOS;
Grecia - Football League;Kalloni;AEL Kallonis;AEL Kalloni;AEL Kalloni;AEL Kalloni FC;;Kalloni;;KALLONI;
Grecia - Football League;Panelefsiniakos Elefsinas;Panelefsiniakos;Panelefsiniakos FC;Panelefsiniakos;Panelefsiniakos;;Panelefsiniakos;;PANELEFSINIAKOS;
Grecia - Football League;Panthrakikos FC Komotini;;Panthrakikos Komotini;Panthrakikos;Panthrakikos Komotini;;Panthrakikos;;;
Turchia - Super Lig;Besiktas;Besiktas;Be?ikta? J.K.;Besiktas JK;Besiktas;Besiktas JK;Be?ikta?;;BESIKTAS;Besiktas
Turchia - Super Lig;Basaksehir FK;Istanbul Basaksehir;Istanbul Basaksehir;Istanbul Basaksehir;Istanbul Basaksehir;Istanbul BBSK;?stanbul Ba?ak?ehir;;ISTANBUL BB;Istanbul Basaksehir FK
Turchia - Super Lig;Galatasaray;Galatasaray;Galatasaray SK;Galatasaray SK;Galatasaray;Galatasaray;Galatasaray;;GALATASARAY;Galatasaray
Turchia - Super Lig;Fenerbahce;Fenerbahce;Fenerbahçe SK;Fenerbahçe SK;Fenerbahce;Fenerbahce;Fenerbahçe;;FENERBAHCE;Fenerbahçe
Turchia - Super Lig;Trabzonspor;Trabzonspor;Trabzonspor;Trabzonspor;Trabzonspor;Trabzonspor;Trabzonspor ;;TRABZONSPOR;Trabzonspor
Turchia - Super Lig;Antalyaspor;Antalyaspor;Antalyaspor;Antalyaspor;Antalyaspor;Antalyaspor AS;Antalyaspor;;ANTALYASPOR;Antalyaspor
Turchia - Super Lig;Kasimpasa;Kasimpasa;Kasimpasa Istanbul;Kasimpasa SK;Kasimpasa;Kasimpasa;Kas?mpa?a;;KASIMPASA;Kasimpasa
Turchia - Super Lig;Atiker Konyaspor 1922;Konyaspor;Konyaspor;Konyaspor;Konyaspor;Torku Konyaspor;Konyaspor;;KONYASPOR;Atiker Konyaspor
Turchia - Super Lig;Karabukspor;Karabukspor;Kardemir DC Karabukspor;Kardemir Karabuk;Karabukspor;Kardemir Karabük;Karabükspor;;KARDEMIR;Karabükspor
Turchia - Super Lig;Genclerbirligi;Genclerbirligi;Gençlerbirligi S.K.;Genclerbirligi;Genclerbirligi;Genclerbirligi Ankara;Gençlerbirli?i;;GENCLERBIRLIGI;Gençlerbirligi
Turchia - Super Lig;Bursaspor;Bursaspor;Bursaspor;Bursaspor;Bursaspor;Bursaspor;Bursaspor;;BURSASPOR;Bursaspor
Turchia - Super Lig;Osmanlispor FK;Osmanlispor FK;Osmanlispor;Osmanlispor FK;Osmanlispor FK;Osmanlispor FK;Osmanl?spor;;OSMANLISPOR;Osmanlispor FK
Turchia - Super Lig;Alanyaspor;Alanyaspor;Alanyaspor;Alanyaspor;Alanyaspor;Alanyaspor;Alanyaspor;;ALANYASPOR;Alanyaspor
Turchia - Super Lig;Kayserispor;Kayserispor;Kayserispor;Kayserispor;Kayserispor;Kayserispor;Kayserispor;;KAYSERISPOR;Kayserispor
Turchia - Super Lig;Akhisar Bld Spor;Akhisar Belediye;Akhisar Bld Spor;Akhisar Bld.;Akhisar Belediye Genclik Ve Spor;Akhisar Belediye GS;Akhisar Belediyespor;;AKHISAR;Akhisar Belediyespor
Turchia - Super Lig;Caykur Rizespor;Caykur Rizespor;Çaykur Rizespor;Rizespor;Rizespor;Caykur Rizespor;Rizespor;;RIZESPOR;Çaykur Rizespor
Turchia - Super Lig;Adanaspor;Adanaspor;Adanaspor FK;Adanaspor;Adanaspor;Adanaspor;Adanaspor;;ADANASPOR;Adanaspor
Turchia - Super Lig;Gaziantepspor;Gaziantepspor;Gaziantepspor;Gaziantepspor;Gaziantepspor;Gaziantepspor;Gaziantepspor;;GAZIANTEPSPOR;Gaziantepspor
Turchia - 1. Lig;Malatya Bld Spor;Yeni Malatyaspor;Malatyaspor;Yeni Malatyaspor;Yeni Malatyaspor;Malatya BLD Spor;Yeni Malatyaspor;;YENI MALATYASPOR;Yeni Malatyaspor
Turchia - 1. Lig;Sivasspor;Sivasspor;Sivasspor;Sivasspor;Sivasspor;Sivasspor;Sivasspor;;SIVASSPOR;Sivasspor
Turchia - 1. Lig;Eskisehirspor;Eskisehirspor;Eskisehirspor;Eskisehirspor;Eskisehirspor;Eskisehirspor;Eski?ehirspor;;ESKISEHIRSPOR;Eskisehirspor
Turchia - 1. Lig;Giresunspor;Giresunspor;Giresunspor;Giresunspor;Giresunspor;Giresunspor;Giresunspor;;GIRESUNSPOR;Giresunspor
Turchia - 1. Lig;Goztepespor;Goztepe;Göztepespor;Göztepe Izmir;Goztepe;Goztepespor;Göztepe;;GOZTEPE;Göztepe Izmir
Turchia - 1. Lig;Ümraniyespor;Umraniyespor;Ümraniyespor;Ümraniyespor;Umraniyespor;Umraniyespor;Ümran?yespor;;UMRANIYESPOR;Ümraniyespor
Turchia - 1. Lig;Boluspor;Boluspor;Boluspor;Boluspor;Boluspor;Boluspor;Boluspor;;BOLUSPOR;Boluspor
Turchia - 1. Lig;Balikesirspor;Balikesirspor;Balikesirspor;Balikesirspor;Balikesirspor;Balikesirspor;Bal?kesirspor;;BALIKESISPOR;Balikesirspor
Turchia - 1. Lig;Denizlispor;Denizlispor;Denizlispor;Denizlispor;Denizlispor;Denizlispor;Denizlispor;;DENIZLISPOR;Denizlispor
Turchia - 1. Lig;Adana Demirspor;Adana Demirspor;Adana Demirspor;Adana Demirspor;Adana Demirspor;Adana Demirspor;Adana Demirspor;;ADANA;Adana Demirspor
Turchia - 1. Lig;Altinordu;Altinordu;Altinordu FK;Altinordu SK;Altinordu;Altinordu;Alt?nordu;;ALTINORDU;Altinordu SK
Turchia - 1. Lig;S. B. Elazigspor;Elazigspor;Elazigspor;Elazigspor;Elazigspor;S. B. Elazigspor;Elaz??spor;;ELAZIGSPOR;Elazigspor
Turchia - 1. Lig;Sanliurfaspor;Sanliurfaspor;Sanliurfaspor;Sanliurfaspor;Sanliurfaspor;Sanliurfaspor;?anl?urfaspor;;SANLIURFASPOR;Sanliurfaspor
Turchia - 1. Lig;Samsunspor;Samsunspor;Samsunspor;Samsunspor;Samsunspor;Samsunspor;Samsunspor;;SAMSUNSPOR;Samsunspor
Turchia - 1. Lig;Manisaspor;Manisaspor;Vestel Manisaspor;Manisaspor;Manisaspor;Manisaspor;Manisaspor;;MANISASPOR;Vestel Manisaspor
Turchia - 1. Lig;Gaziantep Bld Spor;Gaziantep BLD;Gazientep BB;Gaziantep B.B.;Gaziantep BB;Gaziantep BLD Spor;Gaziantep Bb;;GAZIANTEP BB;Gaziantep Bld.Spor
